번호,id,분류,이전대화,질문,추천후보번호,추천답변,대체답변,확인사항,판정(승인/수정),수정답변
11,gs_p100_012,single_turn_general,,사진을 가족에게 문자로 보내는 방법을 알려주세요.,2,"휴대폰 사진첩(갤러리)에서 보내고 싶으신 사진을 먼저 선택해 보세요. 그 다음 화면의 '공유' 버튼을 누르고, 여러 선택지 중에서 '메시지'를 골라 주이소. 받는 사람에 가족분 연락처를 추가하고 '전송' 버튼을 누르면 사진이 보내집니더.","휴대폰 사진첩(갤러리)에서 보내고 싶으신 사진을 먼저 선택하세요. 그 다음 화면의 '공유' 버튼을 누르고, 여러 선택지 중 '메시지'를 고르시면 됩니다. 받는 사람에 가족분 연락처를 추가하고 '전송' 버튼을 누르면 사진이 발송됩니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
12,gs_p100_013,single_turn_general,,휴대전화 저장 공간이 부족하다고 나오는데 어떻게 정리하나요?,3,"휴대전화 저장 공간이 부족하시네예. 우선 갤러리에서 오래됐거나 흔들린 사진, 불필요한 동영상부터 지워보시는 게 좋습니더. 그리고 자주 안 쓰는 앱(어플)을 정리하는 것도 큰 도움이 되거든요.","휴대전화 저장 공간이 부족하시군요. 우선 갤러리에서 오래됐거나 흔들린 사진, 불필요한 동영상을 지우시면 좋고요. 그리고 자주 사용 안 하는 앱(어플)을 정리하시는 것도 큰 도움이 됩니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
13,gs_p100_014,single_turn_general,,와이파이가 자꾸 끊기는데 무엇부터 확인해야 하나요?,2,와이파이가 자꾸 끊겨서 불편하셨겠네요. 우선 와이파이 공유기(라우터) 전원 선을 뽑았다가 1분 뒤에 다시 꽂아보이소. 이렇게 재부팅하면 문제가 해결되는 경우가 많습니다. 만약 그래도 해결되지 않으면 통신사에 문의해서 점검을 받아보시는 게 좋습니다.,와이파이가 자꾸 끊겨서 불편하셨겠습니더. 우선 와이파이 공유기(라우터) 전원 선을 뽑았다가 1분 뒤에 다시 꽂아보이소. 이렇게 재부팅하면 문제가 해결되는 경우가 많습니다. 그래도 해결이 안 되면 통신사에 문의해서 점검을 받아보시는 게 좋을 겁니더.,부산에서 실제로 자연스러운 존댓말인지 확인,,
14,gs_p100_015,single_turn_general,,모르는 번호로 온 문자 링크를 눌러도 되나요?,2,"아니요, 누르시면 안 됩니데이. 모르는 번호로 온 문자 메시지의 인터넷 주소(링크)는 악성 앱이 설치되거나 개인정보가 빠져나가는 스미싱 사기일 수 있으니까 절대 누르지 마이소. 메시지는 바로 삭제하고 번호를 차단하는 것이 가장 안전합니다.","아입니더, 누르시면 안 됩니다. 모르는 번호로 온 문자 메시지의 인터넷 주소(링크)는 악성 앱이 설치되거나 개인정보가 빠져나가는 스미싱 사기일 수 있으니까 절대 누르지 마이소. 메시지는 바로 삭제하고 번호 차단하는 기 가장 안전합니다.",부산에서 실제로 자연스러운 존댓말인지 확인,,
15,gs_p100_016,single_turn_general,,영상 통화를 시작하려면 어떤 버튼을 찾아야 하나요?,2,영상 통화를 하시려면 보통 비디오카메라 모양의 버튼을 찾으시면 됩니다. 전화기 모양 아이콘 옆에 함께 있는 경우가 많으니 한번 확인해 보이소.,,부산에서 실제로 자연스러운 존댓말인지 확인,,
16,gs_p100_017,single_turn_general,,"저기예, 은행 앱 비밀번호를 잊었는데 어떻게 해야 하나요?",3,"은행 앱 로그인 화면에서 '비밀번호 재설정'이나 '비밀번호 찾기' 메뉴를 이용해 보이소. 본인 확인을 해야 해서 신분증, 본인 명의 휴대폰 등이 필요할 수 있습니더. 만약 앱으로 하는 게 어려우시면, 신분증 챙겨가 가까운 은행 지점에 방문해서 도움 받으셔도 됩니다.",,부산에서 실제로 자연스러운 존댓말인지 확인,,
17,gs_p100_018,single_turn_general,,"있잖아예, 이번 달 지출을 간단하게 정리하는 방법이 있을까요?",1,"네, 어르신. 스마트폰에 가계부 앱을 설치해서 쓰시거나, 가까운 문구점에서 예쁜 용돈기입장을 사서 수기로 작성하는 방법이 있습니다. 둘 다 꾸준히 쓰시면 지출을 관리하는 데 큰 도움이 될 겁니더.","네, 어르신. 스마트폰에 가계부 앱을 설치해서 쓰시든지, 가까운 문구점에서 예쁜 용돈기입장을 사서 손으로 쓰는 방법이 있습니더. 둘 다 꾸준히 쓰시면 지출을 관리하는 데 큰 도움이 될 거예요.",부산에서 실제로 자연스러운 존댓말인지 확인,,
18,gs_p100_019,single_turn_general,,그라모 택배가 온다는 문자를 받았는데 진짜인지 어떻게 확인하나요?,2,스미싱이라는 문자 사기일 수 있으니까 문자에 포함된 인터넷 주소는 절대 누르지 마세요. 물건 주문하신 쇼핑몰이나 이용하시는 택배사 공식 홈페이지에 직접 들어가서 배송 정보를 확인해 보시는 게 가장 안전합니더.,스미싱이라는 문자 사기일 수 있으니까 문자에 포함된 인터넷 주소는 절대 누르지 마이소. 물건 주문하신 쇼핑몰이나 이용하시는 택배사 공식 홈페이지에 직접 들어가서 배송 정보를 확인하는 게 가장 안전합니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
19,gs_p100_021,single_turn_general,,오랜만에 산책하려는데 얼마나 걷는 게 좋을까요?,3,오랜만에 산책하시네예. 처음에는 15분에서 20분 정도만 가볍게 걸어보이소. 몸에 무리가 안 가는 선에서 시작해서 점차 시간을 늘려가시는 것이 좋습니다.,오랜만에 산책하시네요! 처음에는 15분에서 20분 정도만 가볍게 걸어보세요. 몸에 무리가 안 가는 선에서 시작해가 점차 시간을 늘려가시는 게 좋습니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
20,gs_p100_022,single_turn_general,,비 오는 날 집에서 할 만한 취미를 추천해 주세요.,2,"비 오는 날에는 따뜻한 차를 마시면서 책을 읽거나, 잔잔한 음악 들으면서 창밖을 감상하는 것도 좋고요. 가벼운 실내 체조로 찌뿌둥한 몸을 풀어주시는 것도 추천합니더.","비 오는 날에는 따뜻한 차 한잔하면서 책 읽거나, 잔잔한 음악 들으면서 창밖 감상하는 것도 좋습니더. 가벼운 실내 체조로 찌뿌득한 몸을 풀어주시는 것도 추천드리고요.",부산에서 실제로 자연스러운 존댓말인지 확인,,
21,gs_p100_023,single_turn_general,,혼자 가까운 곳으로 나들이 갈 때 무엇을 챙겨야 하나요?,3,"혼자 나들이 가실 때는 신분증, 비상 연락처, 평소 드시는 약은 꼭 챙기시는 게 좋습니다. 수시로 마실 물하고 햇볕 가릴 모자 준비하시고, 휴대폰 배터리도 미리 확인하면 더 안심하고 댕기오실 수 있습니더. 가벼운 간식도 하나 챙기시면 든든하고 즐거운 나들이가 될 겁니더.","혼자 나들이 가실 때는 신분증, 비상 연락처, 평소 드시는 약을 꼭 챙기세요. 수시로 마실 물과 햇볕을 가릴 모자를 준비하시고, 휴대폰 배터리를 미리 확인하시면 더 안심하고 다녀오실 수 있습니다. 가벼운 간식도 하나 챙기시면 든든하고 즐거운 나들이가 될 겁니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
22,gs_p100_024,single_turn_general,,책을 읽어도 내용이 잘 기억나지 않는데 어떻게 읽으면 좋을까요?,3,책을 읽으면서 마음에 드는 구절에 밑줄을 긋거나 간단한 감상을 적어보이소. 다 읽고 나서 줄거리를 다른 사람한테 이야기해 주는 것도 내용을 오래 기억하는 데 도움이 많이 됩니더.,책을 읽으면서 마음에 드는 구절에 밑줄을 긋거나 간단한 감상을 적어보세요. 다 읽은 후에 줄거리를 다른 사람에게 이야기해 주는 것도 내용을 오래 기억하는 데 큰 도움이 됩니더.,부산에서 실제로 자연스러운 존댓말인지 확인,,
23,gs_p100_025,single_turn_general,,사진을 정리해서 앨범을 만들고 싶은데 순서를 알려주세요.,2,"네, 사진 앨범 만드는 순서를 알려드릴게예. 먼저 가지고 계신 사진을 전부 한곳에 모은 뒤에, 시간 순서나 행사별로 정리해 보이소. 그다음 마음에 드는 사진들을 골라 앨범에 차곡차곡 채우시면 소중한 추억 앨범이 완성될 겁니더.","네, 사진 앨범 만드는 순서를 알려드리겠습니더. 먼저 갖고 계신 사진을 전부 한데 모으고 나서, 시간 순서나 행사별로 정리해 보시지예. 그다음 마음에 드는 사진들을 골라 앨범에 차곡차곡 채우시면 소중한 추억 앨범이 완성될 거라예.",부산에서 실제로 자연스러운 존댓말인지 확인,,
24,gs_p100_026,single_turn_general,,아침에 몸이 뻣뻣한데 가볍게 어떻게 풀면 좋을까요?,3,자리에 누운 채로 기지개를 켜거나 손목하고 발목을 가볍게 돌려주시면 혈액순환에 도움이 돼가 좋습니더. 통증이 없는 선에서 천천히 부드럽게 움직여 보이소.,자리에 누운 채로 기지개를 켜거나 손목하고 발목을 가볍게 돌려주시면 혈액순환에 도움이 돼가 좋습니다. 통증이 느껴지지 않는 선에서 천천히 부드럽게 움직여 주이소.,부산에서 실제로 자연스러운 존댓말인지 확인,,
25,gs_p100_027,single_turn_general,,"저기예, 밤마다 늦게 자게 되는데 생활 시간을 어떻게 고칠까요?",3,"밤마다 늦게 주무셔서 걱정이시겠네요. 매일 아침 정해진 시간에 일어나시고, 낮에는 햇볕 쬐면서 가볍게 산책해 보이소. 잠들기 한두 시간 전에는 텔레비전이나 스마트폰 사용을 줄이시면 숙면에 도움이 될 겁니더.",,부산에서 실제로 자연스러운 존댓말인지 확인,,
26,gs_p100_028,single_turn_general,,"있잖아예, 물을 자주 잊어버리고 안 마시는데 습관을 만드는 방법이 있을까요?",1,"네, 물 마시는 습관을 들이면 건강에 참 좋지예. 눈에 잘 보이는 곳에 물병을 항상 놓아두시거나, 아침에 일어나서 한 잔, 식사 전에 한 잔처럼 시간을 정해두시면 잊지 않고 챙겨 드시기 좋습니다.","네, 물 마시는 습관을 들이면 건강에 참 좋습니더. 눈에 잘 보이는 곳에 물병을 항상 놔두시든지예, 아침에 일어나서 한 잔, 식사 전에 한 잔처럼 시간을 정해두시면 잊지 않고 챙겨 드시기가 편할 겁니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
27,gs_p100_029,single_turn_general,,그라모 오래 앉아 있으면 허리가 뻐근한데 평소에 무엇을 하면 좋을까요?,2,"오래 앉아 계시면 허리가 뻐근하시지예. 30분에 한 번씩 일어나가 가볍게 걷거나 자세를 바꿔주시고, 앉으실 때는 허리에 작은 쿠션을 받치면 부담을 줄일 수 있습니더. 틈틈이 기지개를 켜거나 허리를 부드럽게 돌려주는 것도 좋습니다.","오래 앉아 계시면 허리가 뻐근하시겠네예. 30분에 한 번씩 일어나가 가볍게 걷거나 자세를 바꿔주시고, 앉으실 때는 허리에 작은 쿠션을 받치면 부담을 줄일 수 있습니데이. 틈틈이 기지개를 켜거나 허리를 부드럽게 돌려주는 것도 좋습니다.",부산에서 실제로 자연스러운 존댓말인지 확인,,
28,gs_p100_030,single_turn_general,,어... 날씨가 추운 날 산책할 때 무엇을 조심해야 하나요,2,"추운 날 산책하실 때는 모자, 장갑, 목도리를 꼭 착용해서 체온을 유지해 주이소. 길이 얼어있을 수 있으니 미끄럼 방지 신발을 신으시고, 걷기 전 가벼운 스트레칭으로 몸을 풀어주시면 더욱 안전합니더.","추운 날 산책하실 때는 모자, 장갑, 목도리를 꼭 착용해가 체온을 유지해 주이소. 길이 얼어있을 수 있으니 미끄럼 방지 신발을 신으시고, 걷기 전 가벼운 스트레칭으로 몸을 풀어주시면 더 안전합니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
29,gs_p100_031,single_turn_general,,새로 이사 온 이웃에게 어떻게 인사하면 자연스러울까요?,2,"엘리베이터나 복도에서 마주쳤을 때 ""안녕하세요, 새로 이사 오셨네예"" 하고 가볍게 인사해 보세요. 작은 떡이나 음료수를 건네며 ""반갑습니다""라고 말씀하시는 것도 좋은 방법입니더.","엘리베이터나 복도에서 마주쳤을 때 ""안녕하세요, 새로 이사 오셨네예"" 하고 가볍게 인사해 보이소. 작은 떡이나 음료수를 건네면서 ""반갑습니다""라고 말씀하시는 것도 좋은 방법입니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
30,gs_p100_032,single_turn_general,,가족 모임 날짜를 정할 때 의견을 모으는 좋은 방법이 있을까요?,2,"네, 가족 단체 대화방의 '투표' 기능을 사용하면 편리합니더. 후보 날짜를 여러 개 올려두고 각자 가능한 날에 표시하게 하면, 의견 모으기도 쉽고 가장 많은 분이 참석할 수 있는 날을 찾기 좋지요.","네, 가족 단체 대화방의 '투표' 기능을 사용하면 편합니더. 후보 날짜를 여러 개 올려두고 각자 가능한 날에 표시하게 하면, 의견 모으기가 쉬워서 가장 많은 분이 참석할 수 있는 날을 찾기 좋거든예.",부산에서 실제로 자연스러운 존댓말인지 확인,,
31,gs_p100_033,single_turn_general,,동네 모임에 처음 가는데 어떤 이야기를 꺼내면 좋을까요?,2,"새로운 모임에 가시는군요. 처음 만나는 분들하고는 취미나 좋아하는 음식, 동네 소식 같은 가벼운 주제로 이야기를 시작해 보이소. ""이 모임에는 어떻게 오게 되셨어요?"" 하고 먼저 물어보시는 것도 좋은 방법입니더.","새로운 모임에 가시는 갑니더. 처음 만나는 분들하고는 취미나 좋아하는 음식, 동네 소식 같은 가벼운 주제로 이야기를 시작해 보이소. ""이 모임에는 어떻게 오게 되셨어요?"" 하고 먼저 물어보는 것도 좋은 방법일 겁니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
32,gs_p100_034,single_turn_general,,오랜 친구에게 먼저 연락하려는데 뭐라고 시작할까요?,2,"오랜 친구분한테 연락하는 일이 멋쩍게 느껴지실 수도 있겠습니더. 간단하게 '잘 지내나? 오랜만이다.' 하고 안부를 묻거나, '문득 니 생각이 나서 연락했다. 우째 지내는지 궁금하네.' 하고 말을 걸어보는 건 어떠세요? 분명 반갑게 맞아줄 겁니다.","오랜 친구분한테 연락하는 일이 멋쩍게 느껴지실 수도 있겠네요. 간단하게 '잘 지내나? 오랜만이다.' 하고 안부를 묻거나, '문득 니 생각이 나서 연락했다. 우째 지내는지 궁금하네.' 하고 말을 걸어보시는 건 어떨까요? 분명 반갑게 맞아줄 거예요.",부산에서 실제로 자연스러운 존댓말인지 확인,,
33,gs_p100_035,single_turn_general,,선물을 받았는데 감사 인사를 어떻게 전하면 좋을까요?,2,"선물 받으셨네예. 전화나 문자로 ""보내주신 선물 덕분에 마음까지 따뜻해졌습니다. 정말 고맙습니다."" 와 같이 진심을 담아 말씀하시면 받으시는 분도 기뻐하실 겁니더.","선물 받으셨네요! 전화나 문자로 ""보내주신 선물 덕분에 마음까지 따뜻해졌습니다. 정말 고맙습니다."" 요렇게 진심을 담아서 말씀드리면 받으시는 분도 기뻐하실 겁니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
34,gs_p100_036,single_turn_emotion_relationship,,요즘 별일이 없는데도 마음이 자꾸 불안해요.,1,이유 없이 마음이 불안하시면 많이 답답하시겠어요. 따뜻한 차를 한 잔 드시거나 잠시 가볍게 산책하면서 기분을 전환해 보시는 것도 도움이 될 수 있을 겁니더.,이유 없이 마음이 불안하시면 많이 답답하시겠습니더. 따뜻한 차를 한 잔 드시거나 잠시 가볍게 산책하면서 기분 전환해 보시는 것도 도움이 될 수 있습니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
35,gs_p100_037,single_turn_emotion_relationship,,"저기예, 실수한 생각이 계속 나서 잠이 안 와요.",3,실수했던 일이 자꾸 생각나서 마음이 힘드시겠습니더. 따신 물 한 잔 드시고 편안한 자세로 누워가 숨을 천천히 쉬어보이소. 숨 들이쉬고 내쉬는 거에 집중하다 보면 어느새 마음이 차분해질 수 있을 겁니다.,실수했던 일이 자꾸 생각나서 마음이 힘드시겠어요. 따뜻한 물 한 잔 드시고 편안한 자세로 누워서 숨을 천천히 쉬어보이소. 숨을 들이쉬고 내쉬는 것에 집중하다 보면 어느새 마음이 차분해질 수 있습니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
36,gs_p100_038,single_turn_emotion_relationship,,"있잖아예, 친구가 제 말을 오해한 것 같아요. 어떻게 풀까요?",3,"친구분께서 오해하셨다니 속상하시겠습니더. 직접 만나 차분하게 이야기하면서 진심을 전해보는 것도 괜찮고예, 먼저 따뜻한 마음을 담은 문자를 보내서 오해를 푸는 것도 좋은 방법입니다.","친구분께서 오해하셨다니 속상하시겠어요. 직접 만나서 차분하게 이야기하면서 진심을 전해보시든지, 먼저 따뜻한 마음을 담은 문자를 보내 오해를 푸는 것도 좋은 방법입니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
37,gs_p100_039,single_turn_emotion_relationship,,그라모 가족에게 서운한데 감정적으로 말할까 봐 걱정돼요.,2,"가족한테 서운한 마음이 드는데, 감정적으로 이야기하게 될까 봐 걱정되시나 봐요. 하고 싶은 말을 종이에 먼저 차분하게 적어보시면 생각을 정리하는 데 도움이 될 수 있거든요. 그러고 나서 대화하시면 어르신 진심이 더 잘 전달될 겁니더.",,부산에서 실제로 자연스러운 존댓말인지 확인,,
38,gs_p100_040,single_turn_emotion_relationship,,어... 혼자 있는 시간이 길어져서 외로워요.,1,"혼자 계시는 시간이 길어지면 외로운 마음이 드실 수 있지예. 가볍게 산책을 다녀오시거나, 평소 자주 연락하지 못했던 친구나 가족한테 전화를 걸어 안부를 여쭤보는 건 어떠세요? 가까운 복지관이나 경로당에 방문해 새로운 이웃을 사귀는 것도 좋은 방법이 될 수 있습니다.",,부산에서 실제로 자연스러운 존댓말인지 확인,,
39,gs_p100_041,single_turn_emotion_relationship,,새로운 일을 시작하려니 자신이 없어요.,2,새로운 일을 시작할 때는 누구나 설레면서도 조금은 두려운 마음이 들지요. 그럴 때는 해야 할 일을 작은 부분으로 나눠서 하나씩 해보이소. 작은 성공이 모이면 어느새 자신감이 생기실 겁니더.,새로운 일을 시작할 때는 누구나 설레면서도 조금은 두려운 마음이 들지예. 그럴 때는 해야 할 일을 작은 부분으로 나눠가 하나씩 해보세요. 작은 성공이 모이면 어느새 자신감이 생길 겁니더.,부산에서 실제로 자연스러운 존댓말인지 확인,,
40,gs_p100_042,single_turn_emotion_relationship,,요즘 아무것도 하기 싫고 의욕이 없어요.,2,의욕이 안 나서 마음이 힘드시겠네요. 가볍게 산책하면서 햇볕을 쬐거나 좋아하시는 노래를 들어보시는 건 어떠세요? 작은 활동이 기분 전환에 도움이 될 수 있습니더.,,부산에서 실제로 자연스러운 존댓말인지 확인,,
41,gs_p100_043,single_turn_emotion_relationship,,친한 사람이 답장을 안 해서 계속 신경 쓰여요.,3,친한 분이 답장을 안 하니 걱정되고 마음이 쓰이시겠습니더. 상대방이 바빠서 답장을 못 할 수도 있거든예. 너무 염려 마시고 잠시 다른 일에 집중해 보세요. 가벼운 산책을 하거나 좋아하시는 TV를 보시는 것도 기분 전환에 도움이 될 겁니더.,"친한 분이 답장을 안 해서 걱정되고 마음이 쓰이시겠네요. 상대방이 바빠서 답장을 못 할 수도 있으니, 너무 염려 마시고 잠시 다른 일에 집중해 보이소. 가벼운 산책을 하거나 좋아하시는 TV를 보시는 것도 기분 전환에 도움이 될 거예요.",부산에서 실제로 자연스러운 존댓말인지 확인,,
42,gs_p100_044,single_turn_emotion_relationship,,괜히 짜증이 나는데 가족에게 화내고 싶지는 않아요.,3,이유 없이 짜증이 나실 때가 있습니다. 잠시 창문을 열어 바깥 공기를 쐬시거나 좋아하시는 잔잔한 음악을 한번 들어보이소. 기분 전환에 도움이 될 수 있을 겁니더.,이유 없이 짜증이 나실 때가 있지예. 잠시 창문을 열어 바깥 공기를 쐬거나 좋아하시는 잔잔한 음악을 들어보시면 기분 전환에 도움이 될 수 있습니다.,부산에서 실제로 자연스러운 존댓말인지 확인,,
43,gs_p100_045,single_turn_emotion_relationship,,다른 사람과 자꾸 비교하게 돼서 속상해요.,2,"남들이랑 비교하니 속상한 마음이 드시는군요. 하지만 사람마다 잘하는 것도, 살아가는 속도도 다 다른 법입니더. 어르신께서 좋아하시는 노래를 듣거나 가벼운 산책을 하면서 잠시 기분을 전환해 보시겠어요?",,부산에서 실제로 자연스러운 존댓말인지 확인,,
44,gs_p100_046,single_turn_emotion_relationship,,친구의 부탁을 거절하고 싶은데 미안해요.,3,"친구분 부탁을 거절하기가 어려워서 마음이 불편하시겠습니더. 소중한 친구니까 더 미안한 마음이 들 수 있지요. ""미안하지만 이번에는 사정이 있어 도와주기 어렵다""와 같이 솔직한 마음을 정중하게 표현해 보시면 친구분도 이해해 주실 겁니더.",,부산에서 실제로 자연스러운 존댓말인지 확인,,
45,gs_p100_047,single_turn_emotion_relationship,,"저기예, 오랜만에 만난 사람과 어색하지 않게 대화하려면 어떻게 할까요?",2,"오랜만에 만난 분하고 무슨 얘기를 나눌지 고민되실 수 있지예. 우선 그동안 어떻게 지내셨는지 안부를 묻고, 요즘 즐겨 하시는 활동이나 관심사에 대해 질문해 보이소. 상대방 얘기에 귀 기울여주시면 더욱 편안하고 즐거운 대화를 나누실 수 있을 겁니다.","오랜만에 만난 분하고 무슨 얘기를 나눌지 고민되실 수 있겠지예. 우선 그동안 우째 지내셨는지 안부부터 묻고, 요즘 즐겨 하시는 활동이나 관심사에 대해 질문해 보세요. 상대방 얘기에 귀 기울여주시면 더욱 편안하고 즐거운 대화를 나누실 수 있을 겁니더.",부산에서 실제로 자연스러운 존댓말인지 확인,,
46,gs_p100_048,single_turn_emotion_relationship,,"있잖아예, 가족이 힘들어 보이는데 어떻게 말을 걸면 좋을까요?",2,가족분이 힘들어 보이셔서 마음이 쓰이시겠네요. 따뜻한 차 한 잔 건네면서 '요즘 얼굴이 어두워 보여서 걱정되네. 혹시 무슨 일 있으면 들어줄게.' 하고 조심스럽게 말을 걸어보시는 건 어떨까요? 이야기를 들어주는 것만으로도 큰 힘이 될 수 있습니더.,,부산에서 실제로 자연스러운 존댓말인지 확인,,
