id,audio_path,speaker,language,text,status,transcript_verified,notes
busan_017,recordings/raw/busan_017.wav,busan_user,ko,남포동에서 책도 구경하고 따뜻한 국수도 한 그릇 먹었어요.,pending,false,
busan_018,recordings/raw/busan_018.wav,busan_user,ko,내일 오후 세 시에 병원 예약이 있다고 말씀하셨지요?,pending,false,
busan_019,recordings/raw/busan_019.wav,busan_user,ko,약속 시간보다 조금 일찍 출발하면 마음이 편하겠어요.,pending,false,
busan_020,recordings/raw/busan_020.wav,busan_user,ko,이번 주 금요일에는 손녀가 집에 놀러 온다고 했어요.,pending,false,
busan_021,recordings/raw/busan_021.wav,busan_user,ko,성함을 다시 한번 말씀해 주세요. 제가 잘 기억해 둘게요.,pending,false,
busan_022,recordings/raw/busan_022.wav,busan_user,ko,아까 말씀하신 일정은 내일 아침 아홉 시가 맞나요?,pending,false,
busan_023,recordings/raw/busan_023.wav,busan_user,ko,목적지를 부산역에서 서면역으로 바꾸신 거지요?,pending,false,
busan_024,recordings/raw/busan_024.wav,busan_user,ko,제가 잘못 들었을 수도 있으니까 한 번만 더 확인할게요.,pending,false,
busan_025,recordings/raw/busan_025.wav,busan_user,ko,말씀하신 내용은 기억해 두고 다음에 다시 알려 드릴게요.,pending,false,
busan_026,recordings/raw/busan_026.wav,busan_user,ko,소리가 작게 들리시면 제가 조금 더 또렷하게 말할게요.,pending,false,
busan_027,recordings/raw/busan_027.wav,busan_user,ko,전화기가 어디 있는지 식탁 위부터 같이 찾아볼까요?,pending,false,
busan_028,recordings/raw/busan_028.wav,busan_user,ko,안경은 아까 읽으시던 책 옆에 두신 것 같아요.,pending,false,
busan_029,recordings/raw/busan_029.wav,busan_user,ko,리모컨이 안 보이면 의자 옆도 천천히 살펴보세요.,pending,false,
busan_030,recordings/raw/busan_030.wav,busan_user,ko,불편한 점이 있으면 참지 마시고 편하게 말씀해 주세요.,pending,false,
busan_031,recordings/raw/busan_031.wav,busan_user,ko,오늘은 기분이 어떠세요? 무슨 좋은 일이 있으셨어요?,pending,false,
busan_032,recordings/raw/busan_032.wav,busan_user,ko,오랜만에 친구하고 이야기하셨다니 참 반가우셨겠어요.,pending,false,
busan_033,recordings/raw/busan_033.wav,busan_user,ko,혼자 계셔서 심심하시면 저하고 옛날 이야기라도 나눠요.,pending,false,
busan_034,recordings/raw/busan_034.wav,busan_user,ko,어릴 때 살던 동네는 어떤 모습이었는지 궁금해요.,pending,false,
busan_035,recordings/raw/busan_035.wav,busan_user,ko,그 노래를 들으면 예전 생각이 많이 나시겠네요.,pending,false,
busan_036,recordings/raw/busan_036.wav,busan_user,ko,괜찮아요. 서두르지 말고 생각나는 대로 말씀해 주세요.,pending,false,
busan_037,recordings/raw/busan_037.wav,busan_user,ko,"아이고, 많이 놀라셨겠어요. 우선 편하게 앉아서 쉬어요.",pending,false,
busan_038,recordings/raw/busan_038.wav,busan_user,ko,몸이 불편하시면 무리해서 움직이지 마세요.,pending,false,
busan_039,recordings/raw/busan_039.wav,busan_user,ko,넘어진 분을 바로 일으키지 말고 상태부터 확인해 주세요.,pending,false,
busan_040,recordings/raw/busan_040.wav,busan_user,ko,위급한 상황이면 일일구에 전화해서 도움을 요청하세요.,pending,false,
busan_041,recordings/raw/busan_041.wav,busan_user,ko,지금 방 안 온도는 센서 값이 없어서 정확하게 말씀드리기 어려워요.,pending,false,
busan_042,recordings/raw/busan_042.wav,busan_user,ko,비가 오는지는 제가 확인할 수 없으니 창밖이나 기상 정보를 봐 주세요.,pending,false,
busan_043,recordings/raw/busan_043.wav,busan_user,ko,이거 참 맛있겠네요. 어디서 사 오셨어요?,pending,false,
busan_044,recordings/raw/busan_044.wav,busan_user,ko,맞지요? 저도 그 이야기를 듣고 같은 생각을 했어요.,pending,false,
busan_045,recordings/raw/busan_045.wav,busan_user,ko,다 준비됐으면 천천히 나가 보입시다.,pending,false,
busan_046,recordings/raw/busan_046.wav,busan_user,ko,여기 자리가 편하니까 이쪽으로 와서 앉으세요.,pending,false,
busan_047,recordings/raw/busan_047.wav,busan_user,ko,다시 한번 말씀해 주이소. 이번에는 잘 들어 볼게요.,pending,false,
busan_048,recordings/raw/busan_048.wav,busan_user,ko,급하게 하지 마이소. 시간은 아직 넉넉해요.,pending,false,
busan_049,recordings/raw/busan_049.wav,busan_user,ko,한번 확인해 보이소. 혹시 빠진 물건이 있을 수도 있어요.,pending,false,
busan_050,recordings/raw/busan_050.wav,busan_user,ko,오늘 같이 이야기해서 좋았어요. 푹 쉬시고 내일 또 만나요.,pending,false,
